entity_id,field-name,field-value
2938937, "fid", "213"
2938937, "ID", "212"
2938937, "ELEV", "304.800000000000011"
2941371, "fid", "214"
2941371, "ID", "213"
2941371, "ELEV", "304.800000000000011"
2942037, "fid", "215"
2942037, "ID", "214"
2942037, "ELEV", "609.600000000000023"
2942886, "fid", "216"
2942886, "ID", "215"
2942886, "ELEV", "914.400000000000091"
2944419, "fid", "217"
2944419, "ID", "216"
2944419, "ELEV", "304.800000000000011"
2944944, "fid", "218"
2944944, "ID", "217"
2944944, "ELEV", "609.600000000000023"
2945541, "fid", "219"
2945541, "ID", "218"
2945541, "ELEV", "304.800000000000011"
2946426, "fid", "220"
2946426, "ID", "219"
2946426, "ELEV", "304.800000000000011"
2946820, "fid", "221"
2946820, "ID", "220"
2946820, "ELEV", "304.800000000000011"
2947758, "fid", "222"
2947758, "ID", "221"
2947758, "ELEV", "304.800000000000011"
2948643, "fid", "223"
2948643, "ID", "222"
2948643, "ELEV", "304.800000000000011"
2949683, "fid", "224"
2949683, "ID", "223"
2949683, "ELEV", "304.800000000000011"
2952873, "fid", "225"
2952873, "ID", "224"
2952873, "ELEV", "304.800000000000011"
2955811, "fid", "226"
2955811, "ID", "225"
2955811, "ELEV", "304.800000000000011"
2962025, "fid", "227"
2962025, "ID", "226"
2962025, "ELEV", "609.600000000000023"
2981812, "fid", "228"
2981812, "ID", "227"
2981812, "ELEV", "304.800000000000011"
2986559, "fid", "229"
2986559, "ID", "228"
2986559, "ELEV", "1524.000000000000000"
2987491, "fid", "230"
2987491, "ID", "229"
2987491, "ELEV", "609.600000000000023"
2988304, "fid", "231"
2988304, "ID", "230"
2988304, "ELEV", "304.800000000000011"
2989369, "fid", "232"
2989369, "ID", "231"
2989369, "ELEV", "609.600000000000023"
2991154, "fid", "233"
2991154, "ID", "232"
2991154, "ELEV", "1828.800000000000182"
3005539, "fid", "234"
3005539, "ID", "233"
3005539, "ELEV", "304.800000000000011"
3006892, "fid", "235"
3006892, "ID", "234"
3006892, "ELEV", "304.800000000000011"
3008817, "fid", "236"
3008817, "ID", "235"
3008817, "ELEV", "609.600000000000023"
3012007, "fid", "237"
3012007, "ID", "236"
3012007, "ELEV", "1219.200000000000045"
3012673, "fid", "238"
3012673, "ID", "237"
3012673, "ELEV", "1219.200000000000045"
3012921, "fid", "239"
3012921, "ID", "238"
3012921, "ELEV", "914.400000000000091"
3014887, "fid", "240"
3014887, "ID", "239"
3014887, "ELEV", "914.400000000000091"
3020381, "fid", "241"
3020381, "ID", "240"
3020381, "ELEV", "1219.200000000000045"
3024468, "fid", "242"
3024468, "ID", "241"
3024468, "ELEV", "304.800000000000011"
3025066, "fid", "243"
3025066, "ID", "242"
3025066, "ELEV", "609.600000000000023"
3030668, "fid", "244"
3030668, "ID", "243"
3030668, "ELEV", "304.800000000000011"
3033678, "fid", "245"
3033678, "ID", "244"
3033678, "ELEV", "1828.800000000000182"
3036891, "fid", "246"
3036891, "ID", "245"
3036891, "ELEV", "304.800000000000011"
3040414, "fid", "247"
3040414, "ID", "246"
3040414, "ELEV", "304.800000000000011"
3040687, "fid", "248"
3040687, "ID", "247"
3040687, "ELEV", "609.600000000000023"
3044273, "fid", "249"
3044273, "ID", "248"
3044273, "ELEV", "914.400000000000091"
3047391, "fid", "250"
3047391, "ID", "249"
3047391, "ELEV", "914.400000000000091"
3048816, "fid", "251"
3048816, "ID", "250"
3048816, "ELEV", "304.800000000000011"
3051353, "fid", "252"
3051353, "ID", "251"
3051353, "ELEV", "609.600000000000023"
3061851, "fid", "253"
3061851, "ID", "252"
3061851, "ELEV", "609.600000000000023"
3062844, "fid", "254"
3062844, "ID", "253"
3062844, "ELEV", "1219.200000000000045"
3071339, "fid", "255"
3071339, "ID", "254"
3071339, "ELEV", "609.600000000000023"
3073629, "fid", "256"
3073629, "ID", "255"
3073629, "ELEV", "304.800000000000011"
3075234, "fid", "257"
3075234, "ID", "256"
3075234, "ELEV", "304.800000000000011"
3081715, "fid", "258"
3081715, "ID", "257"
3081715, "ELEV", "1524.000000000000000"
3083027, "fid", "259"
3083027, "ID", "258"
3083027, "ELEV", "1219.200000000000045"
3083997, "fid", "260"
3083997, "ID", "259"
3083997, "ELEV", "304.800000000000011"
3092227, "fid", "261"
3092227, "ID", "260"
3092227, "ELEV", "914.400000000000091"
3104741, "fid", "262"
3104741, "ID", "261"
